Inicio,Fim,IP
06/02/2024 10:00,06/02/2024 12:00,172.17.14
08/02/2024 08:00,08/02/2024 10:00,172.17.14
13/02/2024 10:00,13/02/2024 12:00,172.17.14
15/02/2024 08:00,15/02/2024 10:00,172.17.14
20/02/2024 10:00,20/02/2024 12:00,172.17.14
22/02/2024 08:00,22/02/2024 10:00,172.17.14
27/02/2024 10:00,27/02/2024 12:00,172.17.14
29/02/2024 08:00,29/02/2024 10:00,172.17.14
05/03/2024 10:00,05/03/2024 12:00,172.17.14
07/03/2024 08:00,07/03/2024 10:00,172.17.14
12/03/2024 10:00,12/03/2024 12:00,172.17.14
14/03/2024 08:00,14/03/2024 10:00,172.17.14
19/03/2024 10:00,19/03/2024 12:00,172.17.14
21/03/2024 08:00,21/03/2024 10:00,172.17.14
26/03/2024 10:00,26/03/2024 12:00,172.17.14
28/03/2024 08:00,28/03/2024 10:00,172.17.14
02/04/2024 10:00,02/04/2024 12:00,172.17.14
04/04/2024 08:00,04/04/2024 10:00,172.17.14
09/04/2024 10:00,09/04/2024 12:00,172.17.14
11/04/2024 08:00,11/04/2024 10:00,172.17.14
16/04/2024 10:00,16/04/2024 12:00,172.17.14
18/04/2024 08:00,18/04/2024 10:00,172.17.14
23/04/2024 10:00,23/04/2024 12:00,172.17.14
25/04/2024 08:00,25/04/2024 10:00,172.17.14
30/04/2024 10:00,30/04/2024 12:00,172.17.14
02/05/2024 08:00,02/05/2024 10:00,172.17.14
07/05/2024 10:00,07/05/2024 12:00,172.17.14
